"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","PAYANN","PAYANN_N","PAYQTR1","PAYQTR1_N","EMP","EMP_N",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS Code","Legal form of organization code","Meaning of Legal form of organization code","Employment size of establishments code","Meaning of Employment size of establishments code","Year","Number of establishments","Annual payroll ($1,000)","Noise range for annual payroll","First-quarter payroll ($1,000)","Noise range for first-quarter payroll","Number of employees","Noise range for number of employees",
"0500000US01001","Autauga County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","9","4689","G","966","G","105","G",
"0500000US01001","Autauga County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01001","Autauga County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","3","N","N","N","N","N","N",
"0500000US01001","Autauga County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","8","1852","H","421","H","186","J",
"0500000US01001","Autauga County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01001","Autauga County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","241","Establishments with 20 to 49 employees","2022","3","N","N","N","N","N","N",
"0500000US01001","Autauga County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","3","100","H","24","H","10","G",
"0500000US01003","Baldwin County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","37","8889","G","1896","G","199","G",
"0500000US01003","Baldwin County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","17","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","16","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","4","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713930","Marinas","001","All establishments","001","All establishments","2022","15","6509","G","1250","G","167","G",
"0500000US01003","Baldwin County, Alabama","713930","Marinas","001","All establishments","220","Establishments with 5 to 9 employees","2022","7","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713930","Marinas","001","All establishments","230","Establishments with 10 to 19 employees","2022","6","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","30","2780","G","607","G","198","G",
"0500000US01003","Baldwin County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","19","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","220","Establishments with 5 to 9 employees","2022","5","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","230","Establishments with 10 to 19 employees","2022","4","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713950","Bowling centers","001","All establishments","001","All establishments","2022","3","2245","H","544","H","121","H",
"0500000US01003","Baldwin County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","25","7269","G","1104","G","230","G",
"0500000US01003","Baldwin County, Alabama","713990","All other amusement and recreation industries","001","All establishments","210","Establishments with less than 5 employees","2022","11","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713990","All other amusement and recreation industries","001","All establishments","220","Establishments with 5 to 9 employees","2022","6","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","713990","All other amusement and recreation industries","001","All establishments","230","Establishments with 10 to 19 employees","2022","5","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","12","1326","G","229","G","63","G",
"0500000US01003","Baldwin County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","813410","Civic and social organizations","001","All establishments","220","Establishments with 5 to 9 employees","2022","6","N","N","N","N","N","N",
"0500000US01005","Barbour County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","3","870","G","217","G","15","G",
"0500000US01007","Bibb County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","4","1789","J","324","J","30","J",
"0500000US01007","Bibb County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01009","Blount County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","7","2164","G","442","G","48","H",
"0500000US01009","Blount County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01009","Blount County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","5","381","G","76","G","31","G",
"0500000US01009","Blount County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01013","Butler County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","4","808","J","179","J","16","J",
"0500000US01013","Butler County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01015","Calhoun County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","13","4552","H","1054","H","106","J",
"0500000US01015","Calhoun County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01015","Calhoun County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","4","N","N","N","N","N","N",
"0500000US01015","Calhoun County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","230","Establishments with 10 to 19 employees","2022","4","N","N","N","N","N","N",
"0500000US01015","Calhoun County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","8","3499","H","798","H","101","G",
"0500000US01015","Calhoun County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01015","Calhoun County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","3","1022","H","289","J","96","H",
"0500000US01015","Calhoun County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","11","548","G","126","G","31","H",
"0500000US01015","Calhoun County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","10","N","N","N","N","N","N",
"0500000US01021","Chilton County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","6","1318","G","296","G","25","J",
"0500000US01021","Chilton County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01021","Chilton County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","4","1032","G","209","G","70","H",
"0500000US01025","Clarke County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","6","5822","J","1432","J","144","J",
"0500000US01025","Clarke County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01031","Coffee County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","4","1403","J","314","J","26","J",
"0500000US01031","Coffee County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01031","Coffee County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","3","61","H","5","G","6","J",
"0500000US01033","Colbert County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","10","3459","G","781","G","107","G",
"0500000US01033","Colbert County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01033","Colbert County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","7","1014","H","275","H","59","J",
"0500000US01033","Colbert County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01033","Colbert County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","220","Establishments with 5 to 9 employees","2022","3","N","N","N","N","N","N",
"0500000US01033","Colbert County, Alabama","713990","All other amusement and recreation industries","001","All establishments","001","All establishments","2022","3","185","H","41","H","14","J",
"0500000US01033","Colbert County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","3","320","J","72","J","8","J",
"0500000US01035","Conecuh County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","3","394","H","82","H","13","G",
"0500000US01039","Covington County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","7","2140","H","487","H","34","J",
"0500000US01039","Covington County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01039","Covington County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","4","N","N","N","N","N","N",
"0500000US01039","Covington County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","3","132","J","25","J","5","J",
"0500000US01039","Covington County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01043","Cullman County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","21","6779","H","1566","H","164","H",
"0500000US01043","Cullman County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","8","N","N","N","N","N","N",
"0500000US01043","Cullman County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","10","N","N","N","N","N","N",
"0500000US01043","Cullman County, Alabama","713930","Marinas","001","All establishments","001","All establishments","2022","4","1856","H","368","H","29","J",
"0500000US01043","Cullman County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","5","542","G","121","G","38","H",
"0500000US01043","Cullman County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","3","944","H","96","H","33","H",
"0500000US01045","Dale County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","3","949","H","217","H","17","J",
"0500000US01047","Dallas County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","3","571","J","122","J","12","J",
"0500000US01047","Dallas County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","5","271","H","65","H","13","J",
"0500000US01047","Dallas County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01049","DeKalb County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","12","4792","G","1076","G","100","G",
"0500000US01049","DeKalb County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","4","N","N","N","N","N","N",
"0500000US01049","DeKalb County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","220","Establishments with 5 to 9 employees","2022","5","N","N","N","N","N","N",
"0500000US01049","DeKalb County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","3","481","J","96","J","11","G",
"0500000US01051","Elmore County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","8","4113","G","879","G","88","G",
"0500000US01051","Elmore County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","001","All establishments","2022","8","633","H","112","G","47","H",
"0500000US01051","Elmore County, Alabama","713940","Fitness and recreational sports centers","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01051","Elmore County, Alabama","813410","Civic and social organizations","001","All establishments","001","All establishments","2022","5","1237","G","235","G","78","H",
"0500000US01051","Elmore County, Alabama","813410","Civic and social organizations","001","All establishments","210","Establishments with less than 5 employees","2022","3","N","N","N","N","N","N",
"0500000US01053","Escambia County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","6","1403","G","293","G","19","J",
"0500000US01053","Escambia County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","210","Establishments with less than 5 employees","2022","5","N","N","N","N","N","N",
"0500000US01055","Etowah County, Alabama","621340","Offices of physical, occupational and speech therapists, and audiologists","001","All establishments","001","All establishments","2022","15","21157","G","4871","H","476","H",
